Company ID,Client Status,Deposits (Co or Firm),Investment Balances (Co or Firm),Loans (Co or Firm),Credit Lines *,MD Name,State,Client Tier,Business Group,Most recent Call Report,,
 103,Former Client,0,0,0,,Dominic,TX,,Life Science and Healthcare,12/25/20,,
 112,Non-Client,,,,,,MN,,Life Science and Healthcare,,,
 114,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 119,Non-Client,,,,,,AR,,Life Science and Healthcare,,,
 150,Non-Client,,,,,,AZ,,Life Science and Healthcare,,,
 152,Non-Client,,,,,,CA,,Life Science and Healthcare,12/25/20,,
 161,Former Client,0,0,0,,Jeff,MN,,Life Science and Healthcare,,,
 162,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 166,Former Client,0,0,0,,Dominic,CA,Silver,Life Science and Healthcare,,,
 174,Non-Client,,,,,,TX,,Life Science and Healthcare,,,
 177,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
 178,Former Client,0,0,0,,Betty,CA,Silver,Life Science and Healthcare,,,
 178,Former Client,0,0,0,,Dominic,CA,Silver,Life Science and Healthcare,,,
 178,Non-Client,,,,,,NJ,,Life Science and Healthcare,,,
 179,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,,,
 179,Former Client,0,0,0,,Dominic,CA,Silver,Life Science and Healthcare,,,
 181,Client,2827,0,0,3700,Kate,MA,Silver,Life Science and Healthcare,8/12/20,,
 182,Non-Client,,,,,,CT,,Life Science and Healthcare,,,
 183,Former Client,0,0,0,,Chris,CA,,Life Science and Healthcare,,,
 183,Former Client,0,0,0,,Betty,,Silver,Life Science and Healthcare,,,
 187,Non-Client,,,,,,CA,,Life Science and Healthcare,12/25/20,,
 192,Non-Client,,,,,Dominic,CA,,Life Science and Healthcare,12/25/20,,
 203,Former Client,0,0,0,,Kate,MA,,Life Science and Healthcare,12/25/20,,
 214,Client,1052,0,0,1000,Kevin,MA,Bronze,Life Science and Healthcare,8/12/20,,
 245,Non-Client,,,,,Laura,PA,,Life Science and Healthcare,12/25/20,,
 253,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,12/25/20,,
 254,Non-Client,,,,,Jeff,OH,,Life Science and Healthcare,,,
 256,Former Client,0,0,0,,Kate,CA,Gold,Life Science and Healthcare,,,
 272,Non-Client,,,,,,CA,,Life Science and Healthcare,,,
 273,Client,1583,2184,0,1400,Kate,MA,Silver,Life Science and Healthcare,8/9/20,,
 274,Client,0,0,0,,Dominic,CA,Iron,Life Science and Healthcare,12/14/17,,
 274,Non-Client,,,,,Laura,FL,,Life Science and Healthcare,,,
 278,Non-Client,,,,,Betty,CA,,Life Science and Healthcare,,,
 278,Non-Client,,,,,Laura,PA,,Life Science and Healthcare,,,
 284,Former Client,0,0,0,,Chris,CA,Bronze,Life Science and Healthcare,,,
 286,Non-Client,,,,,Jeff,MN,,Life Science and Healthcare,,,
 297,Former Client,0,0,0,0,Dominic,TX,Bronze,Life Science and Healthcare,1/29/19,,
 299,Client,5500,5141,0,5000,Kate,MA,Silver,Life Science and Healthcare,8/25/20,,
 300,Client,2243,0,0,,Dominic,TX,Bronze,Life Science and Healthcare,8/12/20,,
 302,Client,1247,0,0,6000,Chris,CA,Bronze,Life Science and Healthcare,8/12/20,,
 302,Non-Client,,,,,Dominic,CA,Silver,Life Science and Healthcare,,,
 304,Client,5070,0,0,0,Chris,CA,Iron,Life Science and Healthcare,12/25/20,,
